peak_date,recovery_date,era,dd_years,depth_pct,invested,dca_qqq_mult,dca_tqqq_mult,dca_tqqq_sma_qqq_mult,dca_tqqq_sma_cash_mult,dca_tqqq_dd,dca_sma_qqq_dd,naked_beats_sma,dca_tqqq_better,dca_tqqq_underwater,lump_tqqq_rt_pct
1999-03-10,1999-03-15,sim,0.013689253935660506,-1.9583884845499666,1000.0,1.0085676341221794,1.020008404811879,1.020008404811879,1.020008404811879,-7.339446124518368,-7.339446124518368,False,True,False,2.0008404811878933
1999-03-18,1999-03-29,sim,0.030116358658453114,-7.134320160627972,1000.0,1.020214347326569,1.0399926787957994,1.0399926787957994,1.0399926787957994,-20.576706950364276,-20.576706950364276,False,True,False,3.999267879579871
1999-03-29,1999-04-05,sim,0.019164955509924708,-2.156179234912947,2000.0,1.0355685176629166,1.1036791670490984,1.1036791670490984,1.1036791670490984,-6.467566256838786,-6.467566256838786,False,True,False,10.009388134996545
1999-04-09,1999-04-26,sim,0.04654346338124572,-11.254205230224324,1000.0,1.013857398810945,1.008537226718155,1.008537226718155,1.008537226718155,-31.40697232188132,-31.40697232188132,False,False,False,0.8537226718155599
1999-04-26,1999-06-21,sim,0.15331964407939766,-11.914929154246412,3000.0,1.0593930706662553,1.1360656215185243,1.1360656215185243,1.1360656215185243,-28.61292643801432,-28.61292643801432,False,True,False,-6.1970507436461375
1999-06-21,1999-06-29,sim,0.02190280629705681,-3.56799291397929,1000.0,1.0006885554195015,0.992558907575184,0.992558907575184,0.992558907575184,-10.883363529375501,-10.883363529375501,False,False,True,-0.7441092424815832
1999-07-14,1999-08-25,sim,0.11498973305954825,-10.17761320589543,2000.0,1.0551578240368804,1.1397034842202087,1.1397034842202087,1.1397034842202087,-25.497422492113873,-25.497422492113873,False,True,False,1.6937871872666044
1999-08-25,1999-09-03,sim,0.024640657084188913,-4.0142370054787495,2000.0,1.0305182734778866,1.085590233213891,1.085590233213891,1.085590233213891,-11.868298160977297,-11.868298160977297,False,True,False,4.61067871008507
1999-09-03,1999-09-10,sim,0.019164955509924708,-1.7955158619406553,1000.0,1.007480804860986,1.0187310254736486,1.0187310254736486,1.0187310254736486,-5.501145974219613,-5.501145974219613,False,True,False,1.8731025473648355
1999-09-10,1999-09-17,sim,0.019164955509924708,-2.6237200922035964,1000.0,1.0029708911978708,1.0024716911853557,1.0024716911853557,1.0024716911853557,-8.002443700454776,-8.002443700454776,False,False,False,0.24716911853555068
1999-09-17,1999-10-08,sim,0.057494866529774126,-5.923003772271751,2000.0,1.0329704327618692,1.091444017958358,1.091444017958358,1.091444017958358,-18.332558310811585,-18.332558310811585,False,True,False,0.1660746243486333
1999-10-08,1999-10-29,sim,0.057494866529774126,-7.278530885831058,1000.0,1.031245855218371,1.069161073532265,1.069161073532265,1.069161073532265,-24.34281784878366,-24.34281784878366,False,True,False,6.916107353226475
1999-11-16,1999-11-18,sim,0.0054757015742642025,-1.353634856731134,1000.0,1.0167087294065347,1.0469937428510083,1.0469937428510083,1.0469937428510083,-4.092219638686522,-4.092219638686522,False,True,False,4.699374285100877
1999-11-24,1999-12-03,sim,0.024640657084188913,-5.084701123457968,2000.0,1.03773730800764,1.1082281342224352,1.1082281342224352,1.1082281342224352,-15.907198938116007,-15.907198938116007,False,True,False,5.2033623449903255
1999-12-23,1999-12-29,sim,0.01642710472279261,-1.2123119267931526,1000.0,1.0252853114883074,1.0713361180671745,1.0713361180671745,1.0713361180671745,-3.768403961478317,-3.768403961478317,False,True,False,7.133611806717455
1999-12-29,2000-01-03,sim,0.013689253935660506,-1.2161469142157877,2000.0,1.0121624957895234,1.0343019356307368,1.0343019356307368,1.0343019356307368,-3.701058051940731,-3.701058051940731,False,True,False,6.860387126147338
2000-01-03,2000-01-19,sim,0.04380561259411362,-15.46834324655163,1000.0,1.013192413925291,0.9400293332426122,0.9400293332426122,0.9400293332426122,-41.84567173275509,-41.84567173275509,False,False,True,-5.997066675738793
2000-01-21,2000-02-03,sim,0.03559206023271732,-10.649444884207105,2000.0,1.0252213130187013,1.0566313651940942,1.0566313651940942,1.0566313651940942,-30.523304561532004,-30.523304561532004,False,True,False,-3.1451788349196264
2000-02-29,2000-03-03,sim,0.008213552361396304,-1.5148961882997747,2000.0,1.0361689478601959,1.1003515118632068,1.1003515118632068,1.1003515118632068,-6.984487559856289,-6.984487559856289,False,True,False,11.351290602738473
2000-03-09,2000-03-23,sim,0.038329911019849415,-10.543502384619918,1000.0,1.0086958682789477,0.9898415622462059,0.9898415622462059,0.9898415622462059,-29.493919078116814,-29.493919078116814,False,False,True,-1.0158437753794103
2000-03-23,2015-02-20,sim,14.913073237508556,-82.70690866631053,180000.0,2.59003844310182,5.67435955598323,5.271354089887641,4.027351985108731,-92.83197406099409,-74.39515912892654,True,True,False,-99.02665388816499
2015-03-02,2015-04-24,real,0.14510609171800137,-3.903857278766676,2000.0,1.0325953358827935,1.092992550009035,1.092992550009035,1.092992550009035,-11.426042921409095,-11.426042921409095,False,True,False,2.687415313094488
2015-04-24,2015-05-21,real,0.07392197125256673,-3.46482878594333,2000.0,1.0071958629907716,1.0173746627608862,1.0173746627608862,1.0173746627608862,-7.719829298050951,-7.719829298050951,False,True,False,-0.33230694186158205
2015-05-21,2015-05-27,real,0.01642710472279261,-1.2479745666880815,1000.0,1.003436509201289,1.009061901316908,1.009061901316908,1.009061901316908,-3.7274373715384668,-3.7274373715384668,False,True,False,0.9061901316907761
2015-05-27,2015-06-23,real,0.07392197125256673,-2.65863069926241,2000.0,1.0032115119463758,1.0066370477433715,1.0066370477433715,1.0066370477433715,-6.394718913460029,-6.394718913460029,False,True,False,-0.1270840879999846
2015-06-23,2015-07-16,real,0.06297056810403832,-4.296417249624163,2000.0,1.0238149823179217,1.0659800176550887,1.0659800176550887,1.0659800176550887,-10.782118079781133,-10.782118079781133,False,True,False,2.205661719905194
2015-07-16,2015-10-28,real,0.28473648186173856,-12.372716664685823,4000.0,1.0729408854623212,1.2044976319944698,1.2044976319944698,1.2044976319944698,-34.17307377719614,-34.17307377719614,False,True,False,1.0624483908508786
2015-11-02,2015-12-01,real,0.07939767282683094,-4.161947709497971,2000.0,1.0023995160427295,1.0044048451841454,1.0044048451841454,1.0044048451841454,-13.052150780476058,-13.052150780476058,False,True,False,0.8809690368291045
2015-12-01,2016-07-27,real,0.6543463381245722,-16.104403144890924,8000.0,1.0584326432448055,1.1443273712711441,1.1443273712711441,1.1443273712711441,-24.13055534658448,-24.13055534658448,False,True,False,-7.082194557171684
2016-09-06,2016-09-21,real,0.04106776180698152,-3.0292765384638987,1000.0,1.0050573644296183,1.0098572676124897,1.0098572676124897,1.0098572676124897,-9.164473459831502,-9.164473459831502,False,True,False,0.985726761248995
2016-10-10,2016-10-24,real,0.038329911019849415,-2.013124078782691,1000.0,1.0029353902544527,1.0073760467411619,1.0073760467411619,1.0073760467411619,-5.893180533162845,-5.893180533162845,False,True,False,0.7376046741162323
2016-10-24,2016-12-13,real,0.13689253935660506,-4.951043892990747,3000.0,1.0293740980891184,1.0828115526042186,1.0828115526042186,1.0828115526042186,-8.049492901469335,-8.049492901469335,False,True,False,1.1974916640788091
2016-12-27,2017-01-05,real,0.024640657084188913,-1.936754118126105,2000.0,1.0057698789556178,1.0177575721377397,1.0177575721377397,1.0177575721377397,-5.629736100832572,-5.629736100832572,False,True,False,0.044501202699120945
2017-03-15,2017-03-29,real,0.038329911019849415,-1.529140027674869,1000.0,1.0032176466913372,1.0083665748461257,1.0083665748461257,1.0083665748461257,-4.45847382495338,-4.45847382495338,False,True,False,0.8366574846125907
2017-04-04,2017-04-20,real,0.04380561259411362,-1.5923378299946722,1000.0,1.000603699542243,0.9994343688256089,0.9994343688256089,0.9994343688256089,-4.7387617042913615,-4.7387617042913615,False,False,True,-0.05656311743907905
2017-05-12,2017-05-24,real,0.03285420944558522,-1.8253974009483032,1000.0,1.0085136709762739,1.0221336806143138,1.0221336806143138,1.0221336806143138,-7.565330353297073,-7.565330353297073,False,True,False,2.2133680614313755
2017-06-08,2017-07-19,real,0.11225188227241616,-4.881902033594199,2000.0,1.031393569937681,1.0906744770857233,1.0906744770857233,1.0906744770857233,-12.27090749993771,-12.27090749993771,False,True,False,0.4401703819940206
2017-07-26,2017-08-31,real,0.09856262833675565,-2.6506027323390136,2000.0,1.013785630110243,1.0292516095443547,1.0292516095443547,1.0292516095443547,-7.303245506883038,-7.303245506883038,False,True,False,1.4942439578310873
2017-08-31,2017-09-12,real,0.03285420944558522,-1.3611938872452822,2000.0,1.0008213521958962,1.002079285641452,1.002079285641452,1.002079285641452,-3.6658393529743205,-3.6658393529743205,False,True,False,0.1732089669797654
2017-09-12,2017-10-05,real,0.06297056810403832,-2.1251482193553772,2000.0,1.0118007510809774,1.0330326642892453,1.0330326642892453,1.0330326642892453,-6.698226437496535,-6.698226437496535,False,True,False,2.809711454593433
2017-11-28,2017-12-15,real,0.04654346338124572,-2.4777796298902532,2000.0,1.0136117479470916,1.0369326079089678,1.0369326079089678,1.0369326079089678,-5.140748922474803,-5.140748922474803,False,True,False,1.5315854269947415
2018-01-26,2018-03-09,real,0.11498973305954825,-10.22641438352938,3000.0,1.0322593217494016,1.078154532782719,1.078154532782719,1.078154532782719,-24.72788632356454,-24.72788632356454,False,True,False,0.9561004097412562
