strategy,irr_p5,irr_p25,irr_median,irr_p75,irr_p95,cvar5_irr,mult_median,mult_p5,p_loss_capital,p_irr_neg,median_maxDD,worst1_maxDD
QQQ B&H,-4.988085623803373,5.907811430742747,12.410935344966713,18.914297011140363,28.498204436714996,-10.508306242381714,1.8631330233346737,0.787510645455006,10.65,10.65,-40.31685700681501,-68.0920061308077
TQQQ B&H,-41.211456073429915,-7.542503990976763,11.681436938965106,32.0222816223682,67.21494587871437,-57.41802897702521,1.7948323856675916,0.19029493197153016,34.150000000000006,34.150000000000006,-88.15999677275565,-98.96733355077163
TQQQ+SMA->QQQ,-22.336523709533363,-2.925550862178293,11.991898707319447,29.414007482617247,58.72989636755562,-30.73209111978073,1.8235697913444113,0.3705758655500193,29.099999999999998,29.099999999999998,-71.43331762872074,-91.29211257086769
TQQQ+SMA->CASH,-24.78889600693393,-5.3360251040412585,8.807799310711328,25.248629002814905,53.374252249124915,-33.02923738347395,1.5503967091924575,0.33682995220763867,34.2,34.2,-70.56437078995927,-91.97533272917114
