start,DCA QQQ (buy&hold)|irr,DCA QQQ (buy&hold)|mult,DCA QQQ (buy&hold)|dd,DCA TQQQ (buy&hold)|irr,DCA TQQQ (buy&hold)|mult,DCA TQQQ (buy&hold)|dd,DCA TQQQ + SMA200->QQQ|irr,DCA TQQQ + SMA200->QQQ|mult,DCA TQQQ + SMA200->QQQ|dd,DCA TQQQ + SMA200->CASH|irr,DCA TQQQ + SMA200->CASH|mult,DCA TQQQ + SMA200->CASH|dd
1999-03-10,-7.583762651317224,0.6907389684603904,-51.828882222079706,-52.689019099275214,0.1344773645285023,-96.82033759774643,-15.101187934705557,0.4910119245489124,-83.60254435399929,-5.358164840219965,0.7680886474622072,-81.14787646568968
1999-04-01,-5.007205218914542,0.7821279088364378,-50.64375236217589,-40.242222415567106,0.1958208869331296,-96.5493188653023,-12.210211305964581,0.5597078262895302,-82.45272113903671,-5.342254551832807,0.7696476768268333,-81.01001091010384
1999-05-03,-2.6628767042720565,0.8764634327092197,-49.325262674880975,-29.89142339712479,0.2757059420449425,-96.24135485393907,-9.565049215035785,0.6311720818523516,-81.14615400087241,-5.281417583185574,0.7719457598288655,-80.85335151927819
1999-06-01,-1.4482971314480069,0.9304709514475588,-48.19893322192702,-25.011612427186954,0.32955549335560375,-95.81793891462137,-8.4291128268189,0.6651511803970636,-79.34977087922586,-5.478540373300811,0.7646223078534203,-80.63796244564668
1999-07-01,-1.3707066389190548,0.9340676203368455,-48.16050147149181,-24.509456707565707,0.33602478986387707,-95.09469277408293,-8.376375879771135,0.6668557273084951,-78.41985643259493,-5.572226157541182,0.7612529991363588,-80.27005160018064
1999-08-02,0.29421165174659597,1.0149556509852669,-48.12630108889324,-18.30646163341227,0.4256515074416814,-94.35197756997243,-3.4498883385656285,0.8421170270063512,-78.00661185830268,-0.8604793613112723,0.9576706359418584,-79.89223696230185
1999-09-01,0.2519952649850806,1.01269923363013,-48.090647773425424,-18.418760424488628,0.42803791943433356,-93.0957309623493,-3.7366185258519042,0.8316071998474008,-77.30763990821981,-1.038143490617003,0.9495645447172122,-77.30763990821981
1999-10-01,1.1703895151857662,1.0605410709716645,-48.05670896521732,-15.140672000565687,0.49193679909283267,-92.83238186486253,-1.1456068029216429,0.9445251843732027,-76.32092879453995,1.3702680793586437,1.0712898432731377,-76.32092879453995
1999-11-01,1.1984960487897662,1.062512177206645,-48.0223616119339,-15.061802050263074,0.48971193369162225,-92.83224719052927,-1.2465636530590791,0.9393527874751916,-74.40891479638742,1.3047275403912777,1.0682616802481328,-74.40891479638742
1999-12-01,2.6585221837446085,1.143590741927723,-47.990326810764586,-10.111779960811335,0.6153707449065549,-92.83213872660505,2.929281039089383,1.1594717526773934,-71.15865402927145,5.275083737762945,1.307797097233992,-70.90961962204459
2000-01-03,3.502649424680832,1.195486518243132,-47.96209385853256,-7.3662506138044455,0.6965875895004916,-92.83206483450908,5.168402679420425,1.3030390901036448,-71.12396796860001,7.153049303693831,1.4451899380256974,-64.8161561303088
2000-02-01,2.476987751843708,1.1331631500938504,-47.93949559718842,-10.967454715148653,0.5916342628633258,-92.83202667751681,1.6614682652414021,1.0872295687113047,-71.09457158311218,3.417224715907688,1.1888375745850566,-59.980799038733124
2000-03-01,3.499038768766323,1.1935518599806585,-47.91603734580947,-8.672938988289856,0.6578130120199578,-92.83197900092244,3.6088173518378786,1.2002698352646215,-72.45266079555866,5.317926405412836,1.310449402669283,-72.45266079555866
2000-04-03,4.7332687436032685,1.2716392575107047,-47.89579453286862,-4.733926398775846,0.7925148566027161,-92.8319476436064,7.046490178405603,1.4334477041515923,-73.42950592075195,8.604146752949775,1.5549788774208757,-73.42950592075195
2000-05-01,5.229799910144939,1.3068844725968733,-47.87446036246589,-3.2745960237422738,0.8494885319000657,-92.83190872738626,8.214466536238922,1.5274599784098146,-71.75380795858067,9.576861203241322,1.6412002098649972,-71.75380795858067
2000-06-01,3.6183986244637616,1.2009389307496816,-47.85129861618167,-9.05469482316924,0.6461615843850503,-92.8318525849039,2.6071900662390055,1.1405569809165679,-70.99225329742592,3.808866545259563,1.2127060655825046,-68.59737420636934
2000-07-03,2.5511291109913965,1.1373545908945775,-47.825713708715476,-13.048557649178782,0.5391111927700639,-92.8317667778152,-2.475250249291467,0.8845160238945898,-72.73406831706484,-2.0239867581644915,0.9043743430732165,-72.73406831706484
2000-08-01,4.104177724975026,1.2328791861672164,-47.80202399599557,-8.125060475115207,0.6722719411727784,-92.83169636076728,-1.2817579840984623,0.9377331916750068,-72.36124669860338,-2.6222813871565993,0.8772947890336693,-72.36124669860338
2000-09-01,3.707657256486608,1.2065218031397915,-47.77621551642363,-9.640630934646525,0.6288079256451445,-92.83160292650989,-2.842787208267655,0.8687061260781382,-71.82074363907216,-4.3441358848693055,0.8074843985994443,-71.82074363907216
2000-10-02,5.5778220314757085,1.3283494597424554,-47.753820410965,-3.6269011806533022,0.8361157006923429,-92.83154162021209,0.6708672807547287,1.0342028772068381,-71.43396169855023,-1.892015714985026,0.910293185622969,-71.43396169855023
2000-11-01,6.8411404068616735,1.4184604027788268,-47.72708282495991,0.2624300599878011,1.013228191562682,-92.83143255791789,4.28643147411523,1.2428966631886238,-70.90783987305976,1.7018941690373963,1.089411904634832,-70.67256170033983
2000-12-01,7.2310976368852975,1.4474484479388448,-47.698149326396056,1.3093141814239428,1.0679948675895408,-92.83128287551219,5.0347417810568835,1.2916378998866924,-70.83448539952012,2.356683612221732,1.1261574358741018,-69.44098404798493
2001-01-02,7.735335097502134,1.4899575691461255,-47.661081019404804,2.9559298237154867,1.1623297734503888,-92.83094531550286,6.767534382739577,1.4162596246423065,-70.87661661425044,4.21952237241143,1.240498881032961,-67.40352818760971
2001-02-01,8.603862660387326,1.555543620490254,-47.616011413905944,5.613323702536165,1.3310427846278094,-92.83026039999052,9.484346284931089,1.6292091129815356,-70.91433873665882,7.098562439004072,1.4377908245114281,-66.91170013419026
2001-03-01,8.553459950553489,1.5505944070070716,-47.57848351195732,5.431845197382873,1.3181440638461013,-92.82983383680335,9.408322537616359,1.6217382825921371,-70.94911479891785,7.157008876310048,1.4415187691474076,-66.57693097636522
2001-04-02,8.762374330752746,1.5678646592294154,-47.52757511432555,6.0605525037731836,1.3618374019384945,-92.82873868634178,10.021992285028311,1.6752072088077947,-70.95194688545827,7.833690717150914,1.4934699616793146,-65.59710125092573
