endpoint,end,years,start,strategy,invested,final,multiple,irr_pct,max_dd_pct,switches
2022 bear trough 2022-12,2022-12-28,5,2017-12-28,DCA TQQQ + SMA200->QLD,61000.0,75079.3917106978,1.230809700175374,8.12966468239446,-65.25063883163303,9
2022 bear trough 2022-12,2022-12-28,7,2015-12-28,DCA QQQ (buy&hold),85000.0,124187.84127107241,1.461033426718499,10.543193208905985,-30.52728952224194,0
2022 bear trough 2022-12,2022-12-28,7,2015-12-28,DCA QLD (buy&hold),85000.0,135622.99888806915,1.5955646928008136,12.983729506801044,-61.35251894467593,0
2022 bear trough 2022-12,2022-12-28,7,2015-12-28,DCA TQQQ (buy&hold),85000.0,116937.150331203,1.375731180367094,8.875830297800338,-80.63313768039436,0
2022 bear trough 2022-12,2022-12-28,7,2015-12-28,DCA TQQQ + SMA200->CASH,85000.0,278067.54217424616,3.2713828491087784,33.044437746904066,-58.43744412356781,9
2022 bear trough 2022-12,2022-12-28,7,2015-12-28,DCA TQQQ + SMA200->QQQ,85000.0,252667.99639255242,2.9725646634417933,30.33554039232157,-58.383808546102365,9
2022 bear trough 2022-12,2022-12-28,7,2015-12-28,DCA TQQQ + SMA200->QLD,85000.0,187816.96291205412,2.2096113283771075,22.023882243464133,-67.60021807678139,9
2022 bear trough 2022-12,2022-12-28,10,2012-12-28,DCA QQQ (buy&hold),121000.0,239558.04095733442,1.979818520308549,13.003647322737189,-32.76077361902746,0
2022 bear trough 2022-12,2022-12-28,10,2012-12-28,DCA QLD (buy&hold),121000.0,339217.3449383551,2.8034491317219428,19.420464325434196,-62.786733704118426,0
2022 bear trough 2022-12,2022-12-28,10,2012-12-28,DCA TQQQ (buy&hold),121000.0,370176.23772488866,3.059307749792468,21.02282964353548,-81.34747733717636,0
2022 bear trough 2022-12,2022-12-28,10,2012-12-28,DCA TQQQ + SMA200->CASH,121000.0,580046.7499089313,4.793774792635796,29.254959729712283,-59.01378778339576,17
2022 bear trough 2022-12,2022-12-28,10,2012-12-28,DCA TQQQ + SMA200->QQQ,121000.0,620334.5439099357,5.126731767850709,30.48858679566346,-58.60459485346766,17
2022 bear trough 2022-12,2022-12-28,10,2012-12-28,DCA TQQQ + SMA200->QLD,121000.0,528647.7835960428,4.368989947074733,27.552505365893364,-68.51429186071091,17
2022 bear trough 2022-12,2022-12-28,15,2007-12-28,DCA QQQ (buy&hold),181000.0,617200.4552171672,3.4099472663931887,14.871764883359479,-34.18843793905207,0
2022 bear trough 2022-12,2022-12-28,15,2007-12-28,DCA QLD (buy&hold),181000.0,1422632.3669074636,7.859847330980462,24.29091869520249,-63.47437266600184,0
2022 bear trough 2022-12,2022-12-28,15,2007-12-28,DCA TQQQ (buy&hold),181000.0,2322805.405010986,12.833179033209868,29.77479482581924,-81.61076939891196,0
2022 bear trough 2022-12,2022-12-28,15,2007-12-28,DCA TQQQ + SMA200->CASH,181000.0,1603096.2853710272,8.856885554536062,25.62640816779107,-66.26516277198556,33
2022 bear trough 2022-12,2022-12-28,15,2007-12-28,DCA TQQQ + SMA200->QQQ,181000.0,2313625.8880683337,12.782463469990795,29.73044050790903,-66.26516277198556,33
2022 bear trough 2022-12,2022-12-28,15,2007-12-28,DCA TQQQ + SMA200->QLD,181000.0,2581975.5754980817,14.265058428166197,30.960461889701197,-70.62173602443471,33
