source,strategy,invested,final_p5,final_median,final_p95,mult_median,irr_median,p_loss,worst5_dd
historical,QQQ B&H,365000.0,432920.67026328173,1090914.3887917595,1559494.2406278623,2.9888065446349574,16.337650691101647,2.4154589371980677,-53.403988092409435
historical,TQQQ B&H,365000.0,152650.12566528615,3095486.7911259243,10611996.904894503,8.480785729112121,33.30486123485379,15.458937198067632,-94.65412301108172
historical,TQQQ+SMA->QQQ,365000.0,331679.5536047801,2545576.1030346104,5974458.685057439,6.974181104204412,30.03085312468049,5.797101449275362,-74.67951275434628
historical,TQQQ+SMA->CASH,365000.0,338024.06731570815,1636720.9121741508,4783455.328185301,4.484166882668906,22.76363614190713,6.280193236714976,-74.39841433427418
montecarlo,QQQ B&H,365000.0,265119.5274981243,803073.1441065106,2098570.6473901854,2.2002003948123576,12.223794092622583,10.05,-66.66525170450751
montecarlo,TQQQ B&H,365000.0,19212.01070750229,677619.1993390126,15811274.653394014,1.8564909570931853,9.52448654705515,36.6,-99.00540579810364
montecarlo,TQQQ+SMA->QQQ,365000.0,80648.18464990467,745605.7353089943,10416219.946530536,2.042755439202724,11.039301957792931,29.45,-91.32914247727588
montecarlo,TQQQ+SMA->CASH,365000.0,68882.29572913285,614325.6069415277,7971626.038142132,1.6830838546343225,7.983006377300742,35.4,-92.18435208258794
