regime,qqq_cagr,qqq_dd,纯QQQ_final,持有TQQQ_final,TQQQ+SMA全程_final,组合_final,纯QQQ_dd,持有TQQQ_dd,TQQQ+SMA全程_dd,组合_dd
有大跌/震荡,13.061902188714768,-52.93305436104856,761246.9453713124,1006405.2476087443,1340105.581759584,1152538.7947515105,-52.31409754059744,-93.62869290632857,-78.64735953225643,-67.6346240928261
有大跌/震荡,10.187210175340411,-48.894463278710376,519693.1380601085,179589.59056835913,284733.19831238105,536308.70460287,-42.707676430457816,-91.5899825401758,-78.60681533754565,-71.7944197573196
有大跌/震荡,6.376225006781544,-39.72366293271179,668189.0310572431,539958.7359490303,594906.7500910914,378545.35894706094,-39.450790923583966,-80.37513471177495,-66.04372073282238,-66.04372073282238
有大跌/震荡,15.530508560422241,-69.1774364834566,991810.7822538579,484399.0911121123,4463542.684854235,1503728.992706782,-69.10829195249971,-99.1589070193759,-87.95048995061265,-79.91737058694977
有大跌/震荡,9.961607621470625,-62.81010186813399,1447072.1791040776,5280257.263200464,4290891.099789955,1809227.2104503247,-33.77588628972264,-85.06487509097148,-61.33619632245042,-61.33619632245042
有大跌/震荡,15.545617259704937,-44.77962594445515,1028047.0743626901,1786004.4725227065,745749.1625406017,1605566.0169246001,-34.01042328664694,-82.61313070784728,-65.36752469771207,-65.21158536591368
温和平稳上行,7.762858977621123,-32.52470544221266,792317.1125782588,863052.2479510813,691725.1603941616,971878.703145943,-27.201782461825797,-76.45633949967674,-74.26452671893806,-47.52962632970754
有大跌/震荡,16.306163300013598,-54.617834394904406,1270583.3072757684,1480973.0246692016,3340596.304976185,1731170.3318749312,-54.61783246244609,-96.5374303239858,-88.5064515590059,-54.61783246244609
有大跌/震荡,19.087235663681,-36.560243425381046,1516969.06137438,5642434.994699481,5038362.645790328,2693558.7735543563,-31.59511256384071,-77.35101832999479,-59.945340477473394,-58.16235341437771
有大跌/震荡,9.39716776517514,-46.636819147782575,695050.1629492163,605558.0053944332,744495.61215934,573231.9186562252,-27.545234065728806,-81.15860338230345,-58.2585459553828,-58.2585459553828
有大跌/震荡,7.406028475324167,-58.98572211138895,817401.1606855751,861036.3620260828,556761.5426279416,393201.6280068626,-33.65425914991159,-87.2146542910318,-58.8228118012708,-58.8228118012708
有大跌/震荡,19.315703105968506,-54.21848842075894,1295646.360759192,5356079.895650234,12016915.681200944,15827540.83459228,-53.096597349186105,-94.6190318993977,-77.74812696444886,-69.36411509183463
强劲平稳,18.301315802771477,-26.87906749546739,1253535.6163503523,4207742.761405003,1751768.1846627172,1368998.5847168297,-26.646592238433808,-65.00423558811325,-57.110076465165236,-48.98682206751075
有大跌/震荡,15.125574362645654,-42.44143554573421,922026.9356183622,1520687.6314581332,1219068.5444520125,819343.9873645213,-42.23783548210404,-84.44914404059504,-66.8500163768679,-52.72140643214138
有大跌/震荡,5.61314904902297,-44.78339620017147,474402.420240207,112729.7377079485,98799.34995472885,219869.16813011726,-42.622017775508304,-89.41138463553055,-83.53654561592802,-77.8885862070163
有大跌/震荡,1.9981402998533015,-44.779625944455205,405997.3091371312,61165.44083212997,72941.92530757422,500928.2661094946,-44.77961252779612,-92.386852613185,-92.15590664613055,-53.75208279640098
有大跌/震荡,3.1534200118439326,-60.35910992653264,675646.5836489585,495102.10188089794,416514.0272764104,320686.0462222049,-40.22486762404171,-86.3058119921366,-80.3185243996352,-80.3185243996352
有大跌/震荡,13.860259083105465,-41.90147819537376,825881.4362582971,687341.1762921409,741302.94448231,741568.14697291,-33.869921823326024,-81.42290870234835,-68.1473452401675,-54.37304174843458
有大跌/震荡,10.98524306064741,-61.45512741249766,575080.6674946139,161249.694036674,305509.31867555657,575590.6241981313,-58.20978303571571,-97.64791005910831,-88.19926738392606,-79.23298202771961
有大跌/震荡,18.22525422067458,-42.11498954326483,1236602.038870067,3612624.546557781,2648183.663762879,3499575.221287327,-28.947841164202735,-80.05789681427088,-62.977081993288884,-62.977081993288884
有大跌/震荡,16.019245994352826,-39.45834886437227,865244.1415686067,591875.0357096444,935707.1600739112,833911.6551949143,-39.458310404563036,-89.19291436400206,-81.57478797459025,-81.57478797459025
有大跌/震荡,2.8916996762545333,-52.86908352453354,616926.5690657799,416930.6649671695,188809.04044762813,365727.1532622319,-35.40934850187227,-78.43821354201218,-80.94185038130242,-40.13171696852805
