source,strategy,final_median,mult_median,irr_median,final_p5,p_loss,worst5_dd
hist,1.持有TQQQ不转,3077154.381269308,8.54765105908141,33.300731087883136,150822.397915226,15.458937198067632,-94.65412301108172
hist,2.第6年转QQQ,1967312.5089026925,5.464756969174146,25.857674598824364,273995.26455841,9.66183574879227,-92.3470632512456
hist,3.SMA全程(不转),2556920.705340554,7.013234687295645,30.092724715150364,151623.84527164276,16.908212560386474,-94.65412301108172
hist,4.组合:SMA积累+转QQQ,1408567.0389986688,3.912686219440747,20.481429979527952,382319.57476166775,3.864734299516908,-74.39841433427418
mc,1.持有TQQQ不转,677619.1993390126,1.8564909570931851,9.52448654705515,19212.01070750229,36.6,-99.00540579810364
mc,2.第6年转QQQ,795851.8332209124,2.1804159814271573,12.079312997609364,107056.20402735072,25.0,-95.33465271718353
mc,3.SMA全程(不转),717107.6279108417,1.9646784326324431,10.420429274548503,25059.934183730766,35.099999999999994,-98.6989719887275
mc,4.组合:SMA积累+转QQQ,802167.0759322301,2.1977180162526855,12.205731395912373,174732.29582692453,19.35,-83.00425755676386
