peak_date,recovery_date,recovered,era,dd_years,depth_pct,qqq_rt_pct,tqqq_trough_pct,tqqq_rt_pct,tqqq_underwater
1999-03-10,1999-03-15,True,sim,0.013689253935660506,-1.9583884845499666,0.8567634122179424,-6.007515709787636,2.0008404811878933,False
1999-03-18,1999-03-29,True,sim,0.030116358658453114,-7.134320160627972,2.0214347326569015,-20.576706950364287,3.999267879579871,False
1999-03-29,1999-04-05,True,sim,0.019164955509924708,-2.156179234912947,3.4964683496513604,-6.467566256838797,10.009388134996545,False
1999-04-09,1999-04-26,True,sim,0.04654346338124572,-11.254205230224324,1.3857398810945165,-31.406972321881298,0.8537226718155599,False
1999-04-26,1999-06-21,True,sim,0.15331964407939766,-11.914929154246412,0.22095244184088259,-34.12730427040196,-6.1970507436461375,True
1999-06-21,1999-06-29,True,sim,0.02190280629705681,-3.56799291397929,0.06885554195015242,-10.883363529375512,-0.7441092424815832,True
1999-07-14,1999-08-25,True,sim,0.11498973305954825,-10.17761320589543,2.0614586975431948,-29.345517672925368,1.6937871872666044,False
1999-08-25,1999-09-03,True,sim,0.024640657084188913,-4.0142370054787495,1.880112678376178,-11.86829816097732,4.61067871008507,False
1999-09-03,1999-09-10,True,sim,0.019164955509924708,-1.7955158619406553,0.7480804860986012,-5.501145974219634,1.8731025473648355,False
1999-09-10,1999-09-17,True,sim,0.019164955509924708,-2.6237200922035964,0.2970891197870529,-8.002443700454787,0.24716911853555068,False
1999-09-17,1999-10-08,True,sim,0.057494866529774126,-5.923003772271751,0.703342189631817,-17.834914383000445,0.1660746243486333,False
1999-10-08,1999-10-29,True,sim,0.057494866529774126,-7.278530885831058,3.1245855218370977,-21.215505592108606,6.916107353226475,False
1999-11-16,1999-11-18,True,sim,0.0054757015742642025,-1.353634856731134,1.6708729406534673,-4.092219638686522,4.699374285100877,False
1999-11-24,1999-12-03,True,sim,0.024640657084188913,-5.084701123457968,2.1791985024141924,-15.145225519307582,5.2033623449903255,False
1999-12-23,1999-12-29,True,sim,0.01642710472279261,-1.2123119267931526,2.528531148830715,-3.768403961478306,7.133611806717455,False
1999-12-29,2000-01-03,True,sim,0.013689253935660506,-1.2161469142157877,2.4324991579047106,-3.701058051940731,6.860387126147338,False
2000-01-03,2000-01-19,True,sim,0.04380561259411362,-15.46834324655163,1.3192413925290802,-41.84567173275509,-5.997066675738793,True
2000-01-21,2000-02-03,True,sim,0.03559206023271732,-10.649444884207105,0.2596948874019622,-30.523304561532015,-3.1451788349196264,True
2000-02-29,2000-03-03,True,sim,0.008213552361396304,-1.5148961882997747,4.039810716769621,-4.732418114635961,11.351290602738473,False
2000-03-09,2000-03-23,True,sim,0.038329911019849415,-10.543502384619918,0.8695868278947971,-29.493919078116804,-1.0158437753794103,True
2000-03-23,2015-02-20,True,sim,14.913073237508556,-82.70690866631053,1.8826811948782218,-99.97755200626999,-99.02665388816499,True
2015-03-02,2015-04-24,True,real,0.14510609171800137,-3.903857278766676,1.2929576035418888,-11.426042921409074,2.687415313094488,False
2015-04-24,2015-05-21,True,real,0.07392197125256673,-3.46482878594333,0.03616715876715304,-10.173818157860238,-0.33230694186158205,True
2015-05-21,2015-05-27,True,real,0.01642710472279261,-1.2479745666880815,0.34365092012889065,-3.727437371538478,0.9061901316907761,False
2015-05-27,2015-06-23,True,real,0.07392197125256673,-2.65863069926241,0.07643190276271916,-7.853934983361476,-0.1270840879999846,True
2015-06-23,2015-07-16,True,real,0.06297056810403832,-4.296417249624163,1.0379972096753898,-12.75022647164812,2.205661719905194,False
2015-07-16,2015-10-28,True,real,0.28473648186173856,-12.372716664685823,2.1059252608116363,-33.6321540021992,1.0624483908508786,False
2015-11-02,2015-12-01,True,real,0.07939767282683094,-4.161947709497971,0.4799032085458954,-12.187805760621107,0.8809690368291045,False
2015-12-01,2016-07-27,True,real,0.6543463381245722,-16.104403144890924,0.3628797339045198,-43.390505163077144,-7.082194557171684,True
2016-09-06,2016-09-21,True,real,0.04106776180698152,-3.0292765384638987,0.5057364429618127,-8.998401359083353,0.985726761248995,False
2016-10-10,2016-10-24,True,real,0.038329911019849415,-2.013124078782691,0.29353902544528854,-5.893180533162834,0.7376046741162323,False
2016-10-24,2016-12-13,True,real,0.13689253935660506,-4.951043892990747,0.7443350459527931,-14.308580776634727,1.1974916640788091,False
2016-12-27,2017-01-05,True,real,0.024640657084188913,-1.936754118126105,0.04138647932765416,-5.629736100832583,0.044501202699120945,False
2017-03-15,2017-03-29,True,real,0.038329911019849415,-1.529140027674869,0.32176466913369506,-4.458473824953368,0.8366574846125907,False
2017-04-04,2017-04-20,True,real,0.04380561259411362,-1.5923378299946722,0.06036995422429303,-4.7387617042913055,-0.05656311743907905,True
2017-05-12,2017-05-24,True,real,0.03285420944558522,-1.8253974009483032,0.8513670976274312,-5.528575841313444,2.2133680614313755,False
2017-06-08,2017-07-19,True,real,0.11225188227241616,-4.881902033594199,0.5587853200007764,-14.660431593687285,0.4401703819940206,False
2017-07-26,2017-08-31,True,real,0.09856262833675565,-2.6506027323390136,0.9181266996765913,-8.183188673759535,1.4942439578310873,False
2017-08-31,2017-09-12,True,real,0.03285420944558522,-1.3611938872452822,0.013613044725002688,-3.732571094648851,0.1732089669797654,False
2017-09-12,2017-10-05,True,real,0.06297056810403832,-2.1251482193553772,1.068782626502296,-6.311071178228877,2.809711454593433,False
2017-11-28,2017-12-15,True,real,0.04654346338124572,-2.4777796298902532,0.6769390913472062,-7.39559390161646,1.5315854269947415,False
2018-01-26,2018-03-09,True,real,0.11498973305954825,-10.22641438352938,1.3046045753788427,-28.562010390422298,0.9561004097412562,False
2018-03-09,2018-06-04,True,real,0.23819301848049282,-10.047182936680654,0.8216455986997051,-28.623531983426265,-2.0464909898915695,True
2018-06-20,2018-07-10,True,real,0.05475701574264202,-4.242597367438128,0.039468883825000134,-12.393418699470548,-0.6472975309128493,True
2018-07-24,2018-08-27,True,real,0.09308692676249145,-2.878531182501476,2.2407394328047614,-8.645523904510044,5.778864502006686,False
2018-08-27,2019-04-12,True,real,0.6242299794661191,-21.791518152021936,1.4629258028839631,-56.42386036595689,-10.271583967220522,True
2019-04-25,2019-05-03,True,real,0.02190280629705681,-1.2442007873996075,0.3307657210967152,-3.7440223167635622,0.7905840307222523,False
2019-05-03,2019-07-03,True,real,0.16700889801505817,-10.983225074431013,0.394136167667436,-30.427704342735794,-1.6575420629546644,True
2019-07-12,2019-07-24,True,real,0.03285420944558522,-1.3021238762255027,0.8370825688419847,-4.015209522950602,2.2777066805861335,False
2019-07-26,2019-10-25,True,real,0.24914442162902123,-7.455580729108147,0.3812506859224518,-21.16454453611777,-3.2110840319450773,True
2019-11-25,2019-12-12,True,real,0.04654346338124572,-1.375967762024266,1.1213192060130384,-4.194334540873246,3.100189728513736,False
2020-01-22,2020-02-04,True,real,0.03559206023271732,-2.577357903147204,1.6080842211752655,-7.768839480036371,4.0783703744786015,False
2020-02-14,2020-06-03,True,real,0.30116358658453113,-27.846901594673334,1.0886764985124753,-68.99773064853267,-24.375760974756165,True
2020-06-05,2020-06-22,True,real,0.04654346338124572,-2.3655376155337415,3.1203359850722645,-7.664918333927506,8.198926403319607,False
2020-06-22,2020-07-01,True,real,0.024640657084188913,-2.6424742953391034,1.5198046541656574,-7.999182000395056,3.9893167280508512,False
2020-07-20,2020-08-03,True,real,0.038329911019849415,-4.205705329146148,0.9745875792110059,-12.417598496268612,2.035260784489612,False
2020-08-03,2020-08-17,True,real,0.038329911019849415,-1.5554094413826047,2.2050658421299607,-4.570775325226295,6.387795560662757,False
2020-08-28,2020-12-01,True,real,0.2600958247775496,-9.698118342820116,3.736377778117972,-28.48267169345432,4.134143834967685,False
2020-12-28,2021-01-07,True,real,0.02737850787132101,-1.643833712774856,0.7356009596406254,-5.03086336975459,1.8288986573506083,False
2021-01-25,2021-02-04,True,real,0.02737850787132101,-4.129706801785882,0.6491769769467526,-12.428603725781384,0.8711675339785563,False
2021-02-11,2021-04-09,True,real,0.15605749486652978,-10.353263053522177,0.8834446681535102,-29.250952071405933,-0.9236267533338172,True
2021-04-13,2021-04-15,True,real,0.0054757015742642025,-1.2008023815138436,0.29653510862306387,-3.5110033957796327,0.7510686803297917,False
2021-04-15,2021-06-14,True,real,0.16427104722792607,-7.236316352715089,0.8489373209210171,-20.73828969628436,0.8442735345524977,False
2021-06-14,2021-06-17,True,real,0.008213552361396304,-1.0159474669957147,0.24091075804548723,-2.9034725082720314,0.7213933002808037,False
2021-07-09,2021-07-22,True,real,0.03559206023271732,-1.7561592650611302,0.8143761487334977,-5.133570619584815,2.3383486381068908,False
2021-08-05,2021-08-23,True,real,0.049281314168377825,-2.0180062630036577,0.9630213597077164,-6.040617385554858,2.6188577218441145,False
2021-09-03,2021-10-28,True,real,0.15058179329226556,-7.484638991606629,0.8061483547421311,-21.399808060367555,0.9574302451966554,False
2021-11-18,2021-12-27,True,real,0.10677618069815195,-5.12104125256333,0.5588838286849196,-16.017004110889033,-0.4592753451857057,True
2021-12-27,2023-12-13,True,real,1.9603011635865846,-35.1187286382736,1.2427624094506706,-81.26319632071194,-42.77803535185826,True
