strategy,n_windows,irr_min,irr_p25,irr_median,irr_p75,irr_max,mult_min,mult_median,mult_max,worst_dd,median_dd,pct_irr_negative
DCA QQQ (buy&hold),207,-7.583762651317224,11.063402059234717,15.906167061949589,18.764269458247796,24.11788930366228,0.6907389684603904,2.2910074952314945,3.5669870977139406,-51.828882222079706,-32.75972890134603,2.4154589371980677
DCA TQQQ (buy&hold),207,-52.689019099275214,14.769758740969303,33.62399278949023,43.98854603050208,60.44790607513158,0.1344773645285023,5.954953385381291,24.040029134345822,-96.82033759774643,-81.33303607845373,10.144927536231885
DCA TQQQ + SMA200->QQQ,207,-15.101187934705557,12.587549868408967,30.28240184121832,38.235798492744266,49.98209127639073,0.4910119245489124,4.995017970657007,14.119021438967504,-83.60254435399929,-58.66491663730484,5.797101449275362
DCA TQQQ + SMA200->CASH,207,-5.572226157541182,8.582833873294753,23.62861011077625,33.0769407959078,45.71264054490966,0.7612529991363588,3.4874048680576615,11.383786861964316,-81.14787646568968,-58.49197563071469,6.280193236714976
